Library,API Name,Param,Parameter Type
tensorflow,tensorflow.contrib.slim.layers.conv2d,padding,Padding
tensorflow,tensorflow.keras.layers.Conv2DTranspose,padding,Padding
torch,torch.nn.Conv2d,padding,Padding
torch,torch.nn.ConvTranspose2d,padding,Padding
torch,torch.nn.functional.conv2d,padding,Padding
torch,torch.nn.Conv3d,padding,Padding
torch,torch.nn.Conv1d,padding,Padding
torch,torch.nn.Conv2d,padding_mode,Padding
tensorflow,tensorflow.layers.conv2d,reuse,
tensorflow,tensorflow.contrib.slim.conv2d,scope,
tensorflow,tensorflow.contrib.slim.separable_conv2d,scope,
tensorflow,tensorflow.contrib.slim.conv2d_transpose,scope,
tensorflow,tensorflow.contrib.layers.conv2d,scope,
tensorflow,tensorflow.contrib.slim.layers.conv2d,scope,
tensorflow,tensorflow.contrib.slim.conv2d,scope,
tensorflow,tensorflow.contrib.slim.separable_conv2d,scope,
tensorflow,tensorflow.contrib.slim.conv2d_transpose,scope,
tensorflow,tensorflow.contrib.layers.conv2d,scope,
tensorflow,tensorflow.contrib.slim.layers.conv2d,scope,
torch,torch.nn.Conv2d,stride,Stride
torch,torch.nn.ConvTranspose2d,stride,Stride
torch,torch.nn.Conv3d,stride,Stride
torch,torch.nn.Conv1d,stride,Stride
keras,keras.layers.Conv2D,strides,Stride
keras,keras.layers.Conv3D,strides,Stride
tensorflow,tensorflow.nn.conv2d,strides,Stride
tensorflow,tensorflow.layers.conv2d,strides,Stride
tensorflow,tensorflow.keras.layers.Conv2D,strides,Stride
keras,keras.layers.convolutional.Convolution2D,subsample,Stride
keras,keras.layers.Convolution2D,trainable,Trainability
keras,keras.layers.Conv2D,use_bias,Bias
tensorflow,tensorflow.keras.layers.Conv2D,use_bias,Bias
keras,keras.layers.convolutional.Convolution2D,W_regularizer,Kernel Regularizer
tensorflow,tensorflow.contrib.slim.conv2d,weights_initializer,Kernel Initializer
